#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
GPICHNHB_00001	1	234	8	184	78.6325	1.89744	33	33
GPICHNHB_00002	1	486	24	457	94.0329	7.64815	33.2	32.5
GPICHNHB_00003	1	831	42	810	97.4729	7.26835	32.2	41.5
GPICHNHB_00009	1	372	6	364	97.8495	3.18817	32.4	39
GPICHNHB_00010	1	297	4	242	81.4815	1.52189	33.2	42
GPICHNHB_00011	1	771	17	702	91.0506	3.51621	32.7	38.7
GPICHNHB_00012	1	213	7	213	100	2.97653	33.2	42
GPICHNHB_00013	1	429	18	392	91.3753	5.96037	33.4	37.6
GPICHNHB_00014	1	573	9	542	94.5899	2.27923	33.1	37.8
GPICHNHB_00015	1	324	3	291	89.8148	1.85185	32.7	28
GPICHNHB_00017	1	207	2	182	87.9227	1.33816	33.8	32.5
GPICHNHB_00018	1	150	1	139	92.6667	0.926667	31.9	42
GPICHNHB_00020	1	279	4	251	89.9642	2.07168	33.3	25
GPICHNHB_00021	1	498	10	477	95.7831	3	33.5	41.6
GPICHNHB_00022	1	276	4	276	100	1.53986	32.5	4.25
GPICHNHB_00023	1	407	39	392	96.3145	14.2211	33.2	11
GPICHNHB_00024	1	306	6	262	85.6209	2.43464	33.4	26.2
GPICHNHB_00025	1	252	3	219	86.9048	2.37302	32.8	15.3
GPICHNHB_00026	1	339	13	339	100	3.16519	33.5	12.5
GPICHNHB_00027	1	249	8	249	100	5.03614	33.5	23.9
GPICHNHB_00028	1	192	3	190	98.9583	4.41667	33.4	14
GPICHNHB_00029	1	252	2	151	59.9206	0.599206	33.6	21
GPICHNHB_00030	1	357	8	356	99.7199	3.61625	32.7	27.9
GPICHNHB_00031	1	411	12	411	100	4.38929	32.8	35.2
GPICHNHB_00032	1	1242	66	1133	91.2238	7.73833	32.7	40.3
GPICHNHB_00033	1	423	10	379	89.5981	3.91489	32.3	38.4
GPICHNHB_00034	1	228	3	217	95.1754	1.9386	32.9	28.3
GPICHNHB_00035	1	234	3	230	98.2906	1.81624	33.1	16.7
GPICHNHB_00036	1	189	3	186	98.4127	2.31217	33	22
GPICHNHB_00037	1	384	9	362	94.2708	3.47656	33	37.3
